year,name,age,sex,genotype,value
2020,total_cancers,0,female,total,0
2020,total_cancers,15,female,total,25
2020,total_cancers,20,female,total,333
2020,total_cancers,25,female,total,858
2020,total_cancers,30,female,total,1231
2020,total_cancers,35,female,total,1534
2020,total_cancers,40,female,total,1651
2020,total_cancers,45,female,total,1520
2020,total_cancers,50,female,total,1312
2020,total_cancers,55,female,total,1124
2020,total_cancers,60,female,total,912
2020,total_cancers,65,female,total,666
2020,total_cancers,70,female,total,460
2020,total_cancers,75,female,total,122
2020,total_cancers,80,female,total,39
2020,total_cancers,85,female,total,0
