name,state,genotype,efficacy
txvx1,latent,hpv16,0
txvx1,latent,hpv18,0
txvx1,latent,hrhpv,0
txvx1,precin,hpv16,0
txvx1,precin,hpv18,0
txvx1,precin,hrhpv,0
txvx1,cin1,hpv16,0
txvx1,cin1,hpv18,0
txvx1,cin1,hrhpv,0
txvx1,cin2,hpv16,0
txvx1,cin2,hpv18,0
txvx1,cin2,hrhpv,0
txvx1,cin3,hpv16,0
txvx1,cin3,hpv18,0
txvx1,cin3,hrhpv,0
txvx1,cancerous,hpv16,0
txvx1,cancerous,hpv18,0
txvx1,cancerous,hrhpv,0
txvx2,latent,hpv16,0
txvx2,latent,hpv18,0
txvx2,latent,hrhpv,0
txvx2,precin,hpv16,0
txvx2,precin,hpv18,0
txvx2,precin,hrhpv,0
txvx2,cin1,hpv16,0
txvx2,cin1,hpv18,0
txvx2,cin1,hrhpv,0
txvx2,cin2,hpv16,0
txvx2,cin2,hpv18,0
txvx2,cin2,hrhpv,0
txvx2,cin3,hpv16,0
txvx2,cin3,hpv18,0
txvx2,cin3,hrhpv,0
txvx2,cancerous,hpv16,0
txvx2,cancerous,hpv18,0
txvx2,cancerous,hrhpv,0
